Airline,Airline_encoded,Source,Source_encoded,Destination,Destination_encoded,Date,Month,Year,Hour,Minute,Price
Jet Airways,4,Delhi,2,Cochin,1,15,6,2019,11,30,10262
Multiple carriers,6,Delhi,2,Cochin,1,21,3,2019,10,0,8098
Multiple carriers,6,Delhi,2,Cochin,1,27,3,2019,10,0,6883
Multiple carriers,6,Delhi,2,Cochin,1,15,6,2019,10,0,16108
SpiceJet,8,Kolkata,3,Banglore,0,18,3,2019,17,15,4413
Jet Airways,4,Delhi,2,Cochin,1,1,6,2019,14,35,10919
IndiGo,3,Kolkata,3,Banglore,0,9,5,2019,21,25,4804
Jet Airways,4,Kolkata,3,Banglore,0,6,6,2019,20,25,10539
IndiGo,3,Banglore,0,Delhi,2,9,3,2019,22,20,4377
Air India,1,Banglore,0,Delhi,2,6,6,2019,6,10,6961
Multiple carriers,6,Delhi,2,Cochin,1,27,5,2019,13,0,7408
IndiGo,3,Banglore,0,Delhi,2,9,5,2019,18,55,4823
IndiGo,3,Kolkata,3,Banglore,0,21,3,2019,14,20,5198
Jet Airways,4,Delhi,2,Cochin,1,1,6,2019,17,30,10262
Vistara,10,Banglore,0,Delhi,2,27,4,2019,17,0,5613
Jet Airways,4,Delhi,2,Cochin,1,12,6,2019,20,55,10262
IndiGo,3,Mumbai,4,Hyderabad,3,3,5,2019,9,10,5755
Vistara,10,Chennai,1,Kolkata,4,21,5,2019,7,5,3687
Jet Airways,4,Mumbai,4,Hyderabad,3,3,6,2019,19,35,5678
Multiple carriers,6,Delhi,2,Cochin,1,21,3,2019,18,15,13542
Jet Airways,4,Delhi,2,Cochin,1,21,3,2019,19,15,12347
Jet Airways,4,Kolkata,3,Banglore,0,21,5,2019,9,35,12384
Jet Airways,4,Delhi,2,Cochin,1,9,4,2019,5,30,10909
IndiGo,3,Banglore,0,Delhi,2,3,6,2019,16,55,4823
IndiGo,3,Delhi,2,Cochin,1,12,6,2019,16,0,6069
Jet Airways,4,Delhi,2,Cochin,1,21,5,2019,16,0,12898
IndiGo,3,Kolkata,3,Banglore,0,15,6,2019,4,40,4804
Jet Airways,4,Kolkata,3,Banglore,0,24,3,2019,8,25,10031
IndiGo,3,Delhi,2,Cochin,1,9,6,2019,7,35,6442
Air India,1,Delhi,2,Cochin,1,21,5,2019,12,0,9653
Vistara,10,Kolkata,3,Banglore,0,9,6,2019,17,0,8610
Jet Airways,4,Delhi,2,Cochin,1,12,6,2019,14,0,14714
Air India,1,Banglore,0,Delhi,2,1,3,2019,0,30,12599
Multiple carriers,6,Delhi,2,Cochin,1,9,5,2019,4,55,9103
Jet Airways,4,Delhi,2,Cochin,1,21,5,2019,22,50,12898
SpiceJet,8,Mumbai,4,Hyderabad,3,6,6,2019,5,45,2647
Jet Airways,4,Mumbai,4,Hyderabad,3,3,3,2019,7,10,5678
Jet Airways,4,Delhi,2,Cochin,1,18,5,2019,19,15,12373
SpiceJet,8,Kolkata,3,Banglore,0,27,3,2019,17,15,3847
Jet Airways,4,Kolkata,3,Banglore,0,21,5,2019,17,0,14151
Jet Airways,4,Delhi,2,Cochin,1,6,3,2019,8,0,13843
Jet Airways,4,Banglore,0,Delhi,2,18,5,2019,15,15,7229
Jet Airways,4,Mumbai,4,Hyderabad,3,18,6,2019,2,55,4995
Jet Airways,4,Delhi,2,Cochin,1,6,6,2019,20,55,10262
Jet Airways,4,Delhi,2,Cochin,1,9,5,2019,5,30,13029
Jet Airways,4,Delhi,2,Cochin,1,9,3,2019,19,15,14053
Jet Airways,4,Banglore,0,Delhi,2,1,3,2019,16,55,26890
SpiceJet,8,Kolkata,3,Banglore,0,1,4,2019,17,10,3841
Air India,1,Banglore,0,Delhi,2,1,3,2019,10,30,11003
Vistara,10,Banglore,0,Delhi,2,9,4,2019,11,30,5403
Multiple carriers,6,Delhi,2,Cochin,1,3,3,2019,8,0,15342
Air India,1,Kolkata,3,Banglore,0,12,6,2019,20,30,12224
IndiGo,3,Chennai,1,Kolkata,4,15,3,2019,19,35,6297
SpiceJet,8,Kolkata,3,Banglore,0,1,5,2019,15,55,8844
Multiple carriers,6,Delhi,2,Cochin,1,1,6,2019,14,0,13377
GoAir,2,Banglore,0,Delhi,2,9,3,2019,20,55,5706
Air India,1,Delhi,2,Cochin,1,12,6,2019,21,0,8372
IndiGo,3,Delhi,2,Cochin,1,27,5,2019,6,40,6526
IndiGo,3,Banglore,0,Delhi,2,1,6,2019,16,55,4823
IndiGo,3,Mumbai,4,Hyderabad,3,24,6,2019,16,55,3175
Multiple carriers,6,Delhi,2,Cochin,1,6,5,2019,9,0,10407
IndiGo,3,Banglore,0,Delhi,2,18,4,2019,4,0,4423
Vistara,10,Kolkata,3,Banglore,0,9,5,2019,17,0,9555
Jet Airways,4,Kolkata,3,Banglore,0,1,4,2019,16,30,12681
Jet Airways,4,Kolkata,3,Banglore,0,6,6,2019,14,5,13059
Jet Airways,4,Kolkata,3,Banglore,0,9,5,2019,16,30,8586
GoAir,2,Banglore,0,Delhi,2,6,4,2019,20,55,3419
SpiceJet,8,Kolkata,3,Banglore,0,3,6,2019,17,10,3873
Air India,1,Kolkata,3,Banglore,0,6,6,2019,10,0,10203
Jet Airways,4,Delhi,2,Cochin,1,27,5,2019,19,30,13029
Jet Airways,4,Kolkata,3,Banglore,0,15,5,2019,16,30,10844
Jet Airways,4,Kolkata,3,Banglore,0,24,3,2019,18,55,11134
Vistara,10,Kolkata,3,Banglore,0,12,6,2019,20,20,8610
IndiGo,3,Kolkata,3,Banglore,0,15,4,2019,20,20,4174
Jet Airways,4,Banglore,0,Delhi,2,9,3,2019,8,0,11087
SpiceJet,8,Banglore,0,Delhi,2,18,6,2019,21,10,3971
Jet Airways,4,Delhi,2,Cochin,1,9,4,2019,7,5,17531
SpiceJet,8,Banglore,0,Delhi,2,6,6,2019,5,55,3573
Air India,1,Kolkata,3,Banglore,0,1,5,2019,9,25,8366
Air India,1,Kolkata,3,Banglore,0,3,3,2019,14,15,13885
Multiple carriers,6,Delhi,2,Cochin,1,9,6,2019,17,50,18485
Air Asia,0,Kolkata,3,Banglore,0,27,4,2019,19,55,4409
Vistara,10,Kolkata,3,Banglore,0,1,5,2019,20,20,8085
Multiple carriers,6,Delhi,2,Cochin,1,6,6,2019,17,30,13377
Air India,1,Delhi,2,Cochin,1,21,5,2019,13,20,13538
Multiple carriers,6,Delhi,2,Cochin,1,6,3,2019,19,0,15147
Jet Airways,4,Banglore,0,Delhi,2,27,5,2019,11,10,4030
Multiple carriers,6,Delhi,2,Cochin,1,6,6,2019,8,0,14848
Jet Airways,4,Banglore,0,Delhi,2,18,3,2019,22,50,13555
Air India,1,Delhi,2,Cochin,1,18,5,2019,7,5,10975
Jet Airways,4,Delhi,2,Cochin,1,21,5,2019,9,40,13029
Jet Airways,4,Kolkata,3,Banglore,0,12,5,2019,8,25,9663
Jet Airways,4,Mumbai,4,Hyderabad,3,1,6,2019,10,20,4050
Jet Airways,4,Delhi,2,Cochin,1,3,6,2019,17,30,14714
Air India,1,Banglore,0,Delhi,2,1,3,2019,10,30,11213
Jet Airways,4,Banglore,0,Delhi,2,9,4,2019,6,0,4544
SpiceJet,8,Kolkata,3,Banglore,0,15,6,2019,9,0,3873
Multiple carriers,6,Delhi,2,Cochin,1,9,4,2019,13,0,12537
Jet Airways,4,Kolkata,3,Banglore,0,6,5,2019,9,35,13067
Jet Airways,4,Delhi,2,Cochin,1,9,5,2019,23,5,16704
Air India,1,Banglore,0,Delhi,2,15,3,2019,6,45,8714
Jet Airways,4,Delhi,2,Cochin,1,3,6,2019,14,35,13376
SpiceJet,8,Chennai,1,Kolkata,4,27,6,2019,8,20,3597
Multiple carriers,6,Delhi,2,Cochin,1,18,5,2019,12,50,7670
Air India,1,Kolkata,3,Banglore,0,24,3,2019,9,50,14410
Air India,1,Delhi,2,Cochin,1,15,5,2019,9,45,7480
Jet Airways,4,Kolkata,3,Banglore,0,9,5,2019,20,0,13584
Jet Airways,4,Banglore,0,Delhi,2,1,3,2019,16,55,25735
Jet Airways,4,Banglore,0,Delhi,2,1,4,2019,17,45,4544
Multiple carriers,6,Delhi,2,Cochin,1,21,5,2019,9,15,8099
Jet Airways,4,Kolkata,3,Banglore,0,15,5,2019,16,30,10844
Jet Airways,4,Delhi,2,Cochin,1,21,3,2019,19,15,12557
Jet Airways,4,Delhi,2,Cochin,1,9,5,2019,11,0,9564
Jet Airways,4,Banglore,0,Delhi,2,12,3,2019,21,25,13817
Jet Airways,4,Kolkata,3,Banglore,0,18,5,2019,9,35,12384
Multiple carriers,6,Delhi,2,Cochin,1,21,5,2019,4,55,7575
Air India,1,Kolkata,3,Banglore,0,6,5,2019,16,45,14120
Multiple carriers,6,Delhi,2,Cochin,1,9,3,2019,7,5,6916
Multiple carriers,6,Delhi,2,Cochin,1,27,5,2019,7,10,7878
Jet Airways,4,Banglore,0,Delhi,2,18,3,2019,22,50,11087
IndiGo,3,Kolkata,3,Banglore,0,27,4,2019,14,25,4804
SpiceJet,8,Chennai,1,Kolkata,4,15,6,2019,9,45,3597
Air India,1,Kolkata,3,Banglore,0,15,5,2019,5,50,12723
IndiGo,3,Mumbai,4,Hyderabad,3,15,5,2019,20,5,2227
Air India,1,Delhi,2,Cochin,1,24,5,2019,7,0,9929
Jet Airways,4,Kolkata,3,Banglore,0,9,6,2019,21,10,11841
Jet Airways,4,Delhi,2,Cochin,1,9,5,2019,11,30,12373
Jet Airways,4,Delhi,2,Cochin,1,21,5,2019,20,55,12898
Air India,1,Delhi,2,Cochin,1,3,3,2019,5,55,15113
Multiple carriers,6,Delhi,2,Cochin,1,18,5,2019,11,40,10529
Air India,1,Delhi,2,Cochin,1,27,3,2019,13,5,8875
Jet Airways,4,Kolkata,3,Banglore,0,15,5,2019,8,25,10844
Air India,1,Banglore,0,Delhi,2,1,3,2019,6,10,15676
Jet Airways,4,Kolkata,3,Banglore,0,1,4,2019,8,25,7064
Jet Airways,4,Kolkata,3,Banglore,0,9,6,2019,8,25,10844
Jet Airways,4,Mumbai,4,Hyderabad,3,6,3,2019,14,0,19595
Jet Airways,4,Kolkata,3,Banglore,0,1,5,2019,14,5,13941
IndiGo,3,Delhi,2,Cochin,1,21,3,2019,8,35,6790
SpiceJet,8,Kolkata,3,Banglore,0,27,4,2019,9,0,3841
Jet Airways,4,Banglore,0,Delhi,2,18,3,2019,11,40,11087
Air India,1,Delhi,2,Cochin,1,15,5,2019,19,45,11491
IndiGo,3,Banglore,0,Delhi,2,9,4,2019,5,30,3943
Jet Airways,4,Banglore,0,Delhi,2,1,3,2019,11,40,22270
Vistara,10,Banglore,0,Delhi,2,9,6,2019,17,0,4878
Jet Airways,4,Delhi,2,Cochin,1,9,6,2019,22,50,14714
Multiple carriers,6,Delhi,2,Cochin,1,24,6,2019,6,40,10877
Air India,1,Delhi,2,Cochin,1,15,6,2019,19,45,9653
Jet Airways,4,Kolkata,3,Banglore,0,24,5,2019,20,0,14571
Jet Airways,4,Kolkata,3,Banglore,0,1,4,2019,18,55,7064
IndiGo,3,Kolkata,3,Banglore,0,6,3,2019,15,20,5618
Multiple carriers,6,Delhi,2,Cochin,1,15,5,2019,14,0,13727
Vistara,10,Delhi,2,Cochin,1,1,4,2019,14,40,4851
Air India,1,Kolkata,3,Banglore,0,24,3,2019,9,10,15187
GoAir,2,Banglore,0,Delhi,2,15,5,2019,7,45,3419
IndiGo,3,Banglore,0,Delhi,2,1,4,2019,6,5,3943
Jet Airways,4,Delhi,2,Cochin,1,18,5,2019,9,40,15129
IndiGo,3,Banglore,0,Delhi,2,21,6,2019,0,25,3419
Air India,1,Delhi,2,Cochin,1,21,5,2019,20,0,10861
IndiGo,3,Delhi,2,Cochin,1,21,4,2019,5,10,7074
Air India,1,Kolkata,3,Banglore,0,6,5,2019,9,25,11542
IndiGo,3,Delhi,2,Cochin,1,21,4,2019,6,50,6968
Jet Airways,4,Banglore,0,Delhi,2,12,6,2019,17,45,5769
Vistara,10,Kolkata,3,Banglore,0,12,6,2019,20,20,7927
Jet Airways,4,Kolkata,3,Banglore,0,12,6,2019,18,55,13044
Jet Airways,4,Delhi,2,Cochin,1,21,5,2019,23,5,15129
SpiceJet,8,Kolkata,3,Banglore,0,1,5,2019,9,0,3841
IndiGo,3,Kolkata,3,Banglore,0,24,6,2019,20,20,4804
SpiceJet,8,Banglore,0,Delhi,2,12,4,2019,5,55,4319
Jet Airways,4,Delhi,2,Cochin,1,27,5,2019,21,50,16079
Jet Airways,4,Banglore,0,Delhi,2,18,3,2019,22,50,54826
IndiGo,3,Delhi,2,Cochin,1,9,3,2019,17,30,12351
Jet Airways,4,Kolkata,3,Banglore,0,6,5,2019,17,0,13067
Jet Airways,4,Banglore,0,Delhi,2,12,3,2019,18,55,13817
SpiceJet,8,Banglore,0,Delhi,2,21,5,2019,21,10,3625
Air India,1,Mumbai,4,Hyderabad,3,12,3,2019,9,40,18293
Vistara,10,Banglore,0,Delhi,2,1,4,2019,19,30,5613
Air India,1,Delhi,2,Cochin,1,6,3,2019,6,10,11038
IndiGo,3,Banglore,0,Delhi,2,3,4,2019,6,5,4077
Multiple carriers,6,Delhi,2,Cochin,1,27,3,2019,8,0,6883
Air India,1,Banglore,0,Delhi,2,3,3,2019,17,0,19508
Air India,1,Banglore,0,Delhi,2,15,3,2019,8,50,8714
IndiGo,3,Kolkata,3,Banglore,0,1,5,2019,4,40,4804
Multiple carriers,6,Delhi,2,Cochin,1,3,3,2019,8,0,15078
SpiceJet,8,Kolkata,3,Banglore,0,21,4,2019,17,10,4807
Multiple carriers,6,Delhi,2,Cochin,1,6,3,2019,11,35,21829
Vistara,10,Banglore,0,Delhi,2,24,3,2019,11,30,5403
Jet Airways,4,Banglore,0,Delhi,2,1,3,2019,7,0,26890
GoAir,2,Kolkata,3,Banglore,0,18,5,2019,23,30,7335
Jet Airways,4,Delhi,2,Cochin,1,27,3,2019,17,35,9412
Jet Airways,4,Kolkata,3,Banglore,0,21,5,2019,8,25,10844
IndiGo,3,Banglore,0,Delhi,2,6,6,2019,18,55,4990
Jet Airways,4,Delhi,2,Cochin,1,27,5,2019,23,5,16704
Air India,1,Delhi,2,Cochin,1,9,4,2019,5,55,7711
Jet Airways,4,Delhi,2,Cochin,1,3,6,2019,17,30,10262
Multiple carriers,6,Delhi,2,Cochin,1,24,6,2019,12,50,6007
Air India,1,Kolkata,3,Banglore,0,1,4,2019,9,25,12219
GoAir,2,Banglore,0,Delhi,2,1,5,2019,20,55,3898
Jet Airways,4,Kolkata,3,Banglore,0,6,5,2019,17,0,11467
Air India,1,Kolkata,3,Banglore,0,18,5,2019,8,20,12534
Jet Airways,4,Kolkata,3,Banglore,0,6,6,2019,8,25,10844
SpiceJet,8,Banglore,0,Delhi,2,24,3,2019,5,45,4377
Vistara,10,Chennai,1,Kolkata,4,9,6,2019,17,45,11982
SpiceJet,8,Banglore,0,Delhi,2,9,6,2019,9,30,4423
Jet Airways,4,Delhi,2,Cochin,1,3,3,2019,19,15,17234
Vistara,10,Kolkata,3,Banglore,0,1,4,2019,7,10,8295
Jet Airways,4,Delhi,2,Cochin,1,6,3,2019,5,30,15864
GoAir,2,Banglore,0,Delhi,2,27,5,2019,11,40,3398
Multiple carriers,6,Delhi,2,Cochin,1,9,6,2019,13,0,7198
Jet Airways,4,Banglore,0,Delhi,2,6,4,2019,6,0,7229
Jet Airways,4,Delhi,2,Cochin,1,12,6,2019,5,30,13014
Air India,1,Kolkata,3,Banglore,0,9,5,2019,14,35,6528
Jet Airways,4,Delhi,2,Cochin,1,12,6,2019,9,35,13292
Jet Airways,4,Delhi,2,Cochin,1,21,5,2019,19,10,15129
Air India,1,Delhi,2,Cochin,1,15,6,2019,20,0,11071
SpiceJet,8,Kolkata,3,Banglore,0,21,4,2019,6,55,4174
Multiple carriers,6,Delhi,2,Cochin,1,27,3,2019,4,0,11299
Jet Airways,4,Delhi,2,Cochin,1,18,5,2019,19,45,12373
Air India,1,Banglore,0,Delhi,2,1,3,2019,5,50,13439
IndiGo,3,Kolkata,3,Banglore,0,1,5,2019,20,20,4804
Air India,1,Kolkata,3,Banglore,0,12,5,2019,9,25,11642
IndiGo,3,Banglore,0,Delhi,2,18,6,2019,0,25,3419
IndiGo,3,Kolkata,3,Banglore,0,21,5,2019,6,35,6103
Air India,1,Kolkata,3,Banglore,0,9,5,2019,7,0,13033
Jet Airways,4,Banglore,0,Delhi,2,18,3,2019,8,55,11245
Jet Airways,4,Kolkata,3,Banglore,0,1,4,2019,6,30,10056
Jet Airways,4,Kolkata,3,Banglore,0,6,6,2019,20,25,10539
IndiGo,3,Chennai,1,Kolkata,4,18,3,2019,22,5,5277
Air India,1,Kolkata,3,Banglore,0,21,5,2019,10,0,11936
Jet Airways,4,Delhi,2,Cochin,1,9,6,2019,5,30,13014
Vistara,10,Kolkata,3,Banglore,0,6,6,2019,17,0,8820
Jet Airways,4,Delhi,2,Cochin,1,9,5,2019,15,0,12373
Jet Airways,4,Delhi,2,Cochin,1,1,6,2019,9,0,10262
Jet Airways,4,Mumbai,4,Hyderabad,3,3,6,2019,7,5,4995
Jet Airways,4,Delhi,2,Cochin,1,27,3,2019,21,50,7438
IndiGo,3,Kolkata,3,Banglore,0,21,3,2019,5,30,4148
IndiGo,3,Chennai,1,Kolkata,4,27,5,2019,14,45,3597
Air Asia,0,Kolkata,3,Banglore,0,1,5,2019,7,35,5192
Jet Airways,4,Banglore,0,Delhi,2,6,3,2019,8,0,16736
Multiple carriers,6,Delhi,2,Cochin,1,1,6,2019,13,0,7933
Air India,1,Delhi,2,Cochin,1,18,5,2019,8,0,8879
IndiGo,3,Delhi,2,Cochin,1,12,5,2019,14,25,5000
Vistara,10,Kolkata,3,Banglore,0,6,5,2019,17,0,8137
Air India,1,Delhi,2,Cochin,1,9,3,2019,16,55,22096
SpiceJet,8,Banglore,0,Delhi,2,24,3,2019,5,45,4273
Jet Airways,4,Banglore,0,Delhi,2,1,3,2019,18,40,35185
IndiGo,3,Kolkata,3,Banglore,0,15,4,2019,19,35,4226
Jet Airways,4,Kolkata,3,Banglore,0,1,5,2019,8,25,10844
IndiGo,3,Mumbai,4,Hyderabad,3,12,6,2019,12,0,2754
IndiGo,3,Kolkata,3,Banglore,0,6,6,2019,10,30,6301
Air India,1,Kolkata,3,Banglore,0,18,5,2019,9,25,13222
Jet Airways,4,Delhi,2,Cochin,1,21,5,2019,17,30,12898
Air India,1,Banglore,0,Delhi,2,12,3,2019,6,45,12127
Jet Airways,4,Kolkata,3,Banglore,0,21,5,2019,20,25,13067
Air India,1,Kolkata,3,Banglore,0,1,4,2019,16,45,9920
GoAir,2,Banglore,0,Delhi,2,1,4,2019,7,45,4239
Jet Airways,4,Delhi,2,Cochin,1,6,6,2019,21,50,14714
IndiGo,3,Kolkata,3,Banglore,0,6,5,2019,18,5,6218
IndiGo,3,Chennai,1,Kolkata,4,1,3,2019,5,15,7295
Multiple carriers,6,Delhi,2,Cochin,1,9,6,2019,3,50,7408
Jet Airways,4,Kolkata,3,Banglore,0,9,6,2019,9,35,13994
IndiGo,3,Kolkata,3,Banglore,0,15,5,2019,14,25,5224
SpiceJet,8,Mumbai,4,Hyderabad,3,9,3,2019,5,45,4391
Air India,1,Kolkata,3,Banglore,0,18,5,2019,10,0,14109
SpiceJet,8,Banglore,0,Delhi,2,27,4,2019,9,30,4885
Jet Airways,4,Banglore,0,Delhi,2,1,6,2019,8,20,8016
Multiple carriers,6,Delhi,2,Cochin,1,24,6,2019,6,0,12524
Jet Airways,4,Delhi,2,Cochin,1,27,3,2019,2,15,6017
Air India,1,Delhi,2,Cochin,1,9,5,2019,22,0,10441
SpiceJet,8,Banglore,0,Delhi,2,1,4,2019,21,10,3625
Air India,1,Delhi,2,Cochin,1,9,3,2019,5,15,15586
Air India,1,Delhi,2,Cochin,1,27,3,2019,8,0,7199
Jet Airways,4,Delhi,2,Cochin,1,21,3,2019,6,20,12273
Multiple carriers,6,Delhi,2,Cochin,1,6,6,2019,19,0,7530
Jet Airways,4,Mumbai,4,Hyderabad,3,21,5,2019,19,35,5678
Air India,1,Delhi,2,Cochin,1,24,6,2019,10,55,11753
SpiceJet,8,Mumbai,4,Hyderabad,3,21,5,2019,22,45,1965
IndiGo,3,Delhi,2,Cochin,1,21,3,2019,6,40,10208
IndiGo,3,Delhi,2,Cochin,1,21,5,2019,20,25,5054
IndiGo,3,Delhi,2,Cochin,1,3,3,2019,8,25,14871
Jet Airways,4,Delhi,2,Cochin,1,18,5,2019,7,5,12373
SpiceJet,8,Mumbai,4,Hyderabad,3,15,6,2019,22,45,2017
Jet Airways,4,Kolkata,3,Banglore,0,24,3,2019,13,55,10661
Multiple carriers,6,Delhi,2,Cochin,1,9,5,2019,10,20,9794
Jet Airways,4,Kolkata,3,Banglore,0,9,5,2019,20,25,13067
SpiceJet,8,Chennai,1,Kolkata,4,3,3,2019,17,45,7298
IndiGo,3,Banglore,0,Delhi,2,3,3,2019,10,5,7648
Air India,1,Kolkata,3,Banglore,0,12,5,2019,12,0,10676
Air India,1,Banglore,0,Delhi,2,3,6,2019,10,0,6961
IndiGo,3,Delhi,2,Cochin,1,15,5,2019,11,25,6979
Multiple carriers,6,Delhi,2,Cochin,1,27,5,2019,9,0,13587
Jet Airways,4,Kolkata,3,Banglore,0,24,5,2019,14,5,10844
IndiGo,3,Banglore,0,Delhi,2,12,5,2019,10,10,3943
IndiGo,3,Delhi,2,Cochin,1,12,6,2019,9,15,6838
Jet Airways,4,Delhi,2,Cochin,1,15,4,2019,13,0,6542
Jet Airways,4,Delhi,2,Cochin,1,21,5,2019,7,5,12239
Jet Airways,4,Kolkata,3,Banglore,0,12,5,2019,16,30,14388
IndiGo,3,Kolkata,3,Banglore,0,12,3,2019,5,30,4148
Multiple carriers,6,Delhi,2,Cochin,1,18,5,2019,15,5,16840
Multiple carriers,6,Delhi,2,Cochin,1,3,6,2019,9,45,9646
Jet Airways,4,Kolkata,3,Banglore,0,9,6,2019,21,10,14571
IndiGo,3,Delhi,2,Cochin,1,15,5,2019,16,0,7923
Jet Airways,4,Kolkata,3,Banglore,0,12,5,2019,20,0,8586
Multiple carriers,6,Delhi,2,Cochin,1,3,6,2019,13,15,9646
Jet Airways,4,Kolkata,3,Banglore,0,18,5,2019,14,5,14388
Jet Airways,4,Kolkata,3,Banglore,0,12,6,2019,16,30,13044
Multiple carriers,6,Delhi,2,Cochin,1,21,5,2019,10,0,10197
Jet Airways,4,Delhi,2,Cochin,1,1,6,2019,19,45,14714
Air India,1,Delhi,2,Cochin,1,1,6,2019,10,0,9929
Jet Airways,4,Delhi,2,Cochin,1,21,3,2019,22,50,6017
SpiceJet,8,Chennai,1,Kolkata,4,27,6,2019,9,45,3597
Air India,1,Delhi,2,Cochin,1,21,3,2019,13,30,5704
Jet Airways,4,Delhi,2,Cochin,1,3,6,2019,19,45,14714
Air India,1,Banglore,0,Delhi,2,12,5,2019,10,0,5228
Jet Airways,4,Kolkata,3,Banglore,0,1,4,2019,9,35,11467
Vistara,10,Banglore,0,Delhi,2,6,6,2019,9,45,4668
IndiGo,3,Banglore,0,Delhi,2,18,4,2019,21,15,4591
IndiGo,3,Banglore,0,Delhi,2,12,5,2019,21,15,3943
Air India,1,Banglore,0,Delhi,2,21,4,2019,10,0,5228
Jet Airways,4,Delhi,2,Cochin,1,27,3,2019,2,15,12242
Air India,1,Delhi,2,Cochin,1,9,6,2019,7,5,11185
IndiGo,3,Delhi,2,Cochin,1,9,4,2019,9,15,6573
Jet Airways,4,Kolkata,3,Banglore,0,15,5,2019,16,30,14781
Air India,1,Kolkata,3,Banglore,0,12,6,2019,16,45,14960
IndiGo,3,Chennai,1,Kolkata,4,15,5,2019,11,35,4332
Air Asia,0,Banglore,0,Delhi,2,3,3,2019,5,50,7652
Jet Airways,4,Kolkata,3,Banglore,0,24,5,2019,9,35,14151
SpiceJet,8,Banglore,0,Delhi,2,12,6,2019,9,30,4319
Jet Airways,4,Delhi,2,Cochin,1,21,3,2019,19,10,10929
Air India,1,Kolkata,3,Banglore,0,24,3,2019,7,0,11491
IndiGo,3,Delhi,2,Cochin,1,18,4,2019,14,20,6015
Jet Airways,4,Kolkata,3,Banglore,0,12,6,2019,9,35,12692
Air Asia,0,Kolkata,3,Banglore,0,9,3,2019,22,50,4384
IndiGo,3,Banglore,0,Delhi,2,3,6,2019,6,5,3943
Jet Airways,4,Delhi,2,Cochin,1,18,5,2019,9,0,12373
Jet Airways,4,Banglore,0,Delhi,2,6,3,2019,8,0,19225
Jet Airways,4,Delhi,2,Cochin,1,9,3,2019,19,45,14053
Air India,1,Banglore,0,Delhi,2,12,4,2019,13,20,5911
Multiple carriers,6,Delhi,2,Cochin,1,9,6,2019,6,40,10877
Jet Airways,4,Kolkata,3,Banglore,0,6,6,2019,18,55,7757
IndiGo,3,Delhi,2,Cochin,1,21,3,2019,7,35,6558
IndiGo,3,Kolkata,3,Banglore,0,21,4,2019,9,35,4804
Jet Airways,4,Mumbai,4,Hyderabad,3,18,3,2019,15,50,5678
Jet Airways,4,Delhi,2,Cochin,1,9,5,2019,10,0,12373
Jet Airways,4,Banglore,0,Delhi,2,6,5,2019,6,0,5198
IndiGo,3,Kolkata,3,Banglore,0,1,6,2019,14,25,6064
Jet Airways,4,Delhi,2,Cochin,1,9,3,2019,21,50,15029
Jet Airways,4,Delhi,2,Cochin,1,9,4,2019,5,30,10909
Multiple carriers,6,Delhi,2,Cochin,1,9,3,2019,8,40,18492
Jet Airways,4,Delhi,2,Cochin,1,24,6,2019,2,15,10262
Jet Airways,4,Kolkata,3,Banglore,0,18,5,2019,11,50,8781
IndiGo,3,Delhi,2,Cochin,1,27,5,2019,8,35,6442
Jet Airways,4,Mumbai,4,Hyderabad,3,12,3,2019,9,50,20120
Vistara,10,Banglore,0,Delhi,2,27,5,2019,19,30,4878
Jet Airways,4,Banglore,0,Delhi,2,6,3,2019,5,45,16736
SpiceJet,8,Kolkata,3,Banglore,0,24,5,2019,11,15,9630
Vistara,10,Kolkata,3,Banglore,0,9,5,2019,7,10,8610
Vistara,10,Chennai,1,Kolkata,4,27,6,2019,7,5,3687
Vistara,10,Kolkata,3,Banglore,0,15,5,2019,20,20,8452
IndiGo,3,Banglore,0,Delhi,2,18,5,2019,10,30,3943
IndiGo,3,Mumbai,4,Hyderabad,3,15,3,2019,6,20,3342
Jet Airways,4,Kolkata,3,Banglore,0,12,5,2019,20,25,13067
Vistara,10,Banglore,0,Delhi,2,6,5,2019,19,30,4878
Jet Airways,4,Kolkata,3,Banglore,0,9,5,2019,21,10,14388
Jet Airways,4,Delhi,2,Cochin,1,27,5,2019,13,25,16704
Air India,1,Mumbai,4,Hyderabad,3,21,5,2019,19,30,3100
Air India,1,Banglore,0,Delhi,2,12,3,2019,17,25,13387
IndiGo,3,Mumbai,4,Hyderabad,3,9,6,2019,9,10,4049
Jet Airways,4,Delhi,2,Cochin,1,18,5,2019,5,30,13029
SpiceJet,8,Banglore,0,Delhi,2,9,4,2019,21,10,3919
IndiGo,3,Chennai,1,Kolkata,4,3,5,2019,5,15,3850
Air India,1,Delhi,2,Cochin,1,24,6,2019,13,15,8839
Jet Airways,4,Kolkata,3,Banglore,0,1,4,2019,16,30,7064
Jet Airways,4,Kolkata,3,Banglore,0,12,5,2019,20,0,13941
Air India,1,Kolkata,3,Banglore,0,24,5,2019,10,0,13007
Jet Airways,4,Kolkata,3,Banglore,0,18,5,2019,14,5,14781
Jet Airways,4,Mumbai,4,Hyderabad,3,18,3,2019,19,35,2071
Jet Airways,4,Delhi,2,Cochin,1,21,6,2019,11,0,4256
Vistara,10,Banglore,0,Delhi,2,9,3,2019,16,0,7923
Air Asia,0,Kolkata,3,Banglore,0,15,3,2019,22,50,3782
